UA L 1,UA  L 2,UB L 3,UB 4,UB L -1,UA L -2,UA L -3,UB L -4
0.210188968,0.417469864,0.312035711,0.305481758,0.465037373,0.242935032,0.384706665,0.305487745
0.358087169,0.107347065,0.08628244,0.106335321,0.162160666,0.126335414,0.335192653,0.369849376
0.097818088,0.172124051,0.061687543,0.070160335,0.069818365,0.092746242,0.098879109,0.051322526
0.83726184,0.875204922,0.846234644,0.878069147,0.852987376,0.728747393,0.802597619,0.904352992
0.370623438,0.316073041,0.357540696,0.338093463,0.316273684,0.256798985,0.117490497,0.285251388
0.378106769,0.800547651,0.604078363,0.54079276,0.505735134,0.630351725,0.644985057,0.657877749
0.088930361,0.380701802,0.212791124,0.099339688,0.088574071,0.07632737,0.349795728,0.065403706
0.509083335,0.642872573,0.697868119,0.621978145,0.592210536,0.662470922,0.559712498,0.671415429
0.926061903,0.496158618,0.237589956,0.036218147,0.299157346,0.881729886,0.521445376,0.094650065
0.31558779,0.416416884,0.432174996,0.507868796,0.537388153,0.566826928,0.650013325,0.307852026
0.405989913,0.503705812,0.668486064,0.663698554,0.673945928,0.438878509,0.399723917,0.665084873
0.555564716,0.932908273,0.612097663,0.844359347,0.847181488,0.812168425,0.926090868,0.869472109
0.481193283,0.628294157,0.901503935,0.872300871,0.837381731,0.631567059,0.941403803,0.679758865
0.906665937,0.832192334,0.870974934,0.87560451,0.829869827,0.810782,0.835665669,0.58632487
0.220193761,0.382158963,0.046089009,0.133790729,0.323431163,0.267588151,0.325780721,0.040289671
0.45678968,0.553314947,0.414941263,0.425256234,0.437127952,0.392774987,0.135298711,0.40865279
0.500534452,0.94157721,0.875874958,0.848549027,0.925097244,0.387168997,0.556604226,0.90429074
0.512347923,0.720102887,0.492962176,0.523783434,0.465848762,0.658245976,0.651428774,0.067026131
0.248558499,0.62859204,0.175210769,0.440454663,0.668416224,0.235833701,0.207318055,0.185043589
0.931995201,0.940731496,0.538454934,0.619569531,0.56421651,0.93672382,0.867968506,0.515760501
0.775154038,0.864540108,0.616317612,0.666867788,0.599852475,0.827475317,0.874386042,0.561917162
0.406670561,0.521451605,0.782942642,0.639802589,0.67904141,0.657586432,0.561565802,0.598031266
0.668246375,0.699162406,0.416323568,0.484714507,0.480887672,0.734172165,0.723863198,0.190188665
0.457993367,0.700600216,0.365159353,0.471481609,0.507410157,0.49361844,0.679660014,0.578480422
0.818381462,0.431016483,0.703564367,0.58616078,0.656928159,0.781390541,0.631902604,0.618648328
