EA LL 1,EA LL2,EA1,EA_gld,EB LL 3,EB LL4,EB1,EB2
0.315603052,0.649297869,0.460730724,0.43059576,0.092825883,0.232011515,0.515518115,0.152272161
0.406324125,0.924332808,0.91206155,0.908773753,0.656386207,0.35682828,0.370297257,0.284453569
0.273207385,0.614249231,0.471222332,0.473700841,0.155009311,0.229917581,0.043779036,0.47930315
0.553939326,0.671883528,0.553395374,0.505309905,0.235505533,0.379231238,0.38292684,0.468453408
0.269480737,0.234426115,0.355622796,0.095528741,0.125738034,0.0586451,0.046345724,0.272192816
0.609196459,0.496104974,0.380541612,0.524244564,0.192740336,0.286348133,0.140680871,0.637895514
0.348976918,0.294124896,0.90306663,0.934974975,0.13499084,0.13196576,0.061914012,0.548271911
0.46422044,0.932893966,0.879925613,0.825426027,0.196047476,0.030931581,0.041156793,0.273998402
0.424535989,0.73422906,0.494032213,0.42982973,0.161783923,0.170603906,0.120908624,0.51992409
0.415377078,0.91928074,0.661327541,0.838821362,0.062705014,0.199359266,0.066426272,0.320671437
0.17952072,0.647364267,0.506313593,0.536679981,0.098956222,0.076586436,0.048418973,0.128917572
0.678211417,0.860861302,0.72108468,0.643359352,0.73880309,0.57256188,0.529021996,0.694859937
0.779112825,0.902897763,0.947388792,0.958087779,0.86488507,0.864205718,0.508467414,0.809455499
0.478987218,0.837361905,0.895428704,0.949745552,0.096955308,0.046701503,0.039716026,0.277463034
0.787969115,0.913287166,0.931223172,0.918981761,0.706764186,0.593476044,0.58251049,0.81102005
0.527078845,0.919835303,0.940419323,0.927786847,0.159004388,0.094715719,0.082706858,0.413329389
0.287468508,0.488394455,0.061289281,0.053698189,0.811642524,0.782318536,0.946961738,0.128324643
0.650821989,0.88204376,0.833873871,0.845162067,0.210642825,0.366631601,0.104236939,0.471704523
0.605204988,0.846368845,0.9523299,0.937536543,0.480380444,0.156549116,0.109736607,0.92144206
0.69461513,0.791458027,0.58171743,0.405962271,0.796218962,0.644721022,0.511968166,0.194296025
0.785796247,0.809158919,0.884218736,0.939227071,0.577636534,0.701843077,0.927260944,0.364511463
0.324200907,0.222817647,0.133125324,0.085179604,0.125184348,0.092202375,0.065942794,0.254490509
0.744686798,0.931464766,0.928871883,0.927740181,0.946382717,0.896849271,0.907024366,0.905021723
0.36686427,0.762023768,0.253484473,0.408610678,0.432028347,0.100702217,0.180076953,0.215671673
0.43934269,0.431258899,0.478630624,0.480077272,0.826584938,0.509712546,0.503897573,0.362517925
0.600849448,0.676158228,0.326008577,0.352044014,0.549583947,0.610788296,0.443171248,0.626658761
0.440546767,0.576033529,0.595689556,0.284200859,0.848150746,0.84802048,0.931724037,0.913788486
0.397506667,0.881713801,0.950061731,0.925742815,0.657490873,0.356561435,0.616733252,0.206389323
0.917813165,0.953198724,0.941794393,0.956074656,0.816401436,0.769114379,0.846100682,0.565361394
0.558496476,0.784856724,0.90045965,0.896624593,0.826363402,0.909281076,0.704805508,0.525549297
0.718796072,0.843712061,0.949592957,0.920812146,0.907509759,0.828458234,0.946045354,0.802066298
0.724420929,0.791116176,0.899248559,0.908483928,0.704767934,0.470295055,0.522383547,0.501438266
0.53086967,0.684652814,0.532539858,0.473841203,0.589415025,0.464033589,0.176687547,0.147585183
0.461336369,0.603707322,0.159194232,0.435745394,0.636316204,0.752568912,0.490121013,0.099256862
0.381815064,0.8341798,0.846651641,0.855829591,0.306451724,0.256083034,0.15357348,0.193162212
0.637722486,0.906221053,0.58638732,0.643193291,0.938240558,0.709628877,0.849980269,0.670006995
0.318765136,0.646018447,0.116929627,0.473791818,0.818915131,0.88450727,0.800678919,0.21859687
0.570240616,0.895721849,0.931841429,0.570967567,0.441355578,0.32177608,0.029924166,0.725790173
0.449832249,0.633972461,0.528271906,0.873712532,0.183655457,0.352798367,0.747093677,0.913953365
0.725279604,0.93822417,0.923650368,0.89908199,0.157968894,0.062108303,0.060666846,0.400256062
0.628437074,0.742258872,0.816778717,0.553577145,0.098436531,0.048929556,0.063386246,0.209012593
0.739284087,0.90991474,0.897792227,0.913881203,0.70181034,0.213427936,0.497882944,0.166726159
0.249237971,0.160551195,0.117045336,0.067412659,0.309795169,0.055094891,0.067349465,0.143829749
0.525544402,0.921188267,0.721899672,0.917082879,0.839675401,0.887391961,0.549900779,0.930704062
0.567833521,0.306472152,0.086268559,0.067472634,0.594244414,0.582116231,0.548192149,0.523025356
0.635990577,0.893265439,0.914078954,0.919043704,0.880356071,0.768525254,0.832656443,0.512049658
