PA L 1,PB L 2,PB L 3,PB L 4,PA LL 1,PA LL 2,PB LL 3,PB LL 4
0.88979909,0.538586334,0.542606968,0.595708271,0.64472843,0.743053094,0.62471706,0.461626989
0.494237088,0.549456018,0.538868745,0.531673726,0.616879209,0.611157133,0.530675558,0.508942997
0.035310435,0.041766475,0.031659178,0.030704444,0.163774775,0.043998846,0.439102127,0.071864652
0.387274827,0.384178603,0.468337356,0.40971262,0.695830163,0.619811011,0.474604074,0.58887899
0.398239904,0.286555439,0.177314066,0.489846403,0.384628248,0.084072236,0.200154235,0.181894019
0.273914144,0.523352286,0.551479729,0.546985378,0.719446347,0.596158671,0.555171709,0.543585783
0.149238587,0.131895347,0.16692721,0.191020247,0.179482095,0.227982941,0.114643498,0.117999057
0.501134298,0.204548998,0.09503055,0.078172795,0.500743042,0.440925545,0.053453295,0.031390203
0.037065715,0.04620106,0.028969514,0.047519181,,0.076449373,0.407315595,0.137750404
0.562953703,0.095415249,0.079411444,0.060545738,0.131991077,0.166823571,0.106312408,0.151663559
0.129162952,0.22611908,0.129913678,0.06640248,0.095204193,0.066327649,0.045332933,0.399651535
0.353608267,0.084296109,0.088339057,0.10735776,0.197524843,0.101816544,0.087939321,0.184047425
0.249221812,0.496173808,0.456532397,0.325935512,0.15044099,0.249751378,0.416443647,0.672322794
0.477714703,0.50721085,0.658217192,0.442851411,0.5005378,0.292471042,0.61081086,0.516400036
0.129291349,0.865995163,0.894822146,0.544336013,0.435254562,0.633370904,0.647146067,0.852650239
0.04091113,0.494968018,0.503932447,0.518496201,0.070479247,0.031140903,0.431013163,0.252838889
0.06733963,0.529762375,0.518298924,0.507904,0.03288586,0.087400256,0.465246473,0.391600222
0.59794021,0.606370648,0.604096257,0.600796243,0.694465959,0.621817002,0.606964805,0.57242355
0.351102015,0.313640636,0.288745306,0.124909489,0.195379018,0.128642609,0.125450618,0.225629616
0.030764385,0.034110551,0.036467587,0.033190379,0.042322585,0.028046897,0.022765122,0.045215811
0.17036969,0.312950675,0.116691535,0.083281454,0.274756263,0.134830601,0.381890279,0.406007674
0.271584007,0.173078193,0.135549022,0.163654903,0.130209985,0.112177538,0.45002964,0.398796578
0.883528843,0.570644849,0.579735042,0.623110006,0.655350695,0.890620902,0.668083314,0.726796714
0.049925242,0.517680204,0.533267314,0.521413467,0.053227153,0.02363638,0.473439705,0.375544651
0.04367238,0.037802904,0.045500085,0.04819031,0.674797276,0.08057523,0.04362943,0.079302255
0.806447934,0.810129954,0.812725907,0.789732235,0.392271602,0.808546514,0.836704,0.780054172
0.045776505,0.035215215,0.030256855,0.033119403,0.074825491,0.039201594,0.051434441,0.052313805
0.038901474,0.037638422,0.043296536,0.038735501,0.167450115,0.040773676,0.029628939,0.064648352
0.638397214,0.101982854,0.165172301,0.12388575,0.030601814,0.472101654,0.0434636,0.086293094
0.032956259,0.02915244,0.025029881,0.026823908,0.185096642,0.031487479,0.026342664,0.05544189
0.494259739,0.50645025,0.450172426,0.516298661,0.1880755,0.064999382,0.152900664,0.08081687
0.860479014,0.808349972,0.851643503,0.826447498,0.888766649,0.919582052,0.793514355,0.762958269
0.754239359,0.637143418,0.659231349,0.685168588,0.378739439,0.08566809,0.574143432,0.682878867
0.771829096,0.723572224,0.664208598,0.81085958,0.701584282,0.437468555,0.173321737,0.535959634
0.073170971,0.376155964,0.39304784,0.331066049,0.699471739,0.507340213,0.436870423,0.450918952
0.539530261,0.491744962,0.466451821,0.501827314,0.252146125,0.104223784,0.458396333,0.280527155
0.441286624,0.057792579,0.058273261,0.067989814,0.062072646,0.552277506,0.059275689,0.045703122
0.16238665,0.543436434,0.531435324,0.54618125,0.704583681,0.256346859,0.322999334,0.395242381
0.277443246,0.197463447,0.219035876,0.192357385,0.215008261,0.074605061,0.241290321,0.203974516
0.54187736,0.48726589,0.565427511,0.702219361,0.449124187,0.602042616,0.580548953,0.692635336
0.601544389,0.400157579,0.432113814,0.534488829,0.083387856,0.6056738,0.515046089,0.608687049
0.046979536,0.039508322,0.116864706,0.040167564,0.10332634,0.036533519,0.03556327,0.08800555
0.489448964,0.087445992,0.0784435,0.175001757,0.718711093,0.629206767,0.066721665,0.066083022
0.071470831,0.345490323,0.427911067,0.198092162,0.16306218,0.202590903,0.680330063,0.053180548
0.4752623,0.468428214,0.488414834,0.468139668,0.389357621,0.849491582,0.464622386,0.473924942
0.027543552,0.198315568,0.04549734,0.497679692,0.036650833,0.023700355,0.02971743,0.034672297
0.034838682,0.528670945,0.558166308,0.50844095,0.158921888,0.038821561,0.605801115,0.454941163
0.396364859,0.085428347,0.151914227,0.13090829,0.51731929,0.050867843,0.068362985,0.189506259
