JA LL 1,JALL 2,JA3,JA4,JB LL 3,JB LL 4,JB3,JB4
0.449758433,0.447728954,0.511587105,0.160355934,0.578948906,0.560021229,0.823731292,0.543618889
0.572373869,0.768350894,0.512166122,0.902676237,0.929019727,0.64204499,0.925858759,0.92322235
0.579602412,0.43958888,0.377639974,0.322000292,0.093463174,0.27256179,0.166139544,0.356101468
0.067643605,0.02181178,0.381789306,0.077150115,0.676586332,0.562048824,0.440089179,0.280447384
0.159361331,0.031702822,0.167115103,0.081520651,0.1401486,0.380526086,0.394359455,0.167869339
0.391184856,0.401230311,0.572477244,0.144483075,0.325251135,0.125889793,0.209300485,0.886552771
0.041640161,0.158009062,0.089120567,0.086600153,0.611693379,0.397030109,0.200372384,0.546861095
0.467794344,0.502945864,0.859687741,0.868416596,0.059392993,0.40604081,0.105698287,0.189879536
0.873119495,0.92798086,0.930279001,0.938310506,0.921198234,0.911073882,0.883652565,0.93924577
0.106546654,0.131814902,0.199678285,0.059648929,0.132217725,0.537526043,0.462086876,0.086641529
0.131682107,0.084941073,0.085160008,0.088124357,0.55177866,0.085513941,0.152585417,0.539085211
0.124980377,0.083208482,0.074268149,0.080425354,0.315121489,0.287704033,0.303414289,0.107586514
0.136845644,0.025485334,0.456713335,0.8766636,0.900609684,0.917476919,0.57573519,0.933980076
0.168397762,0.105455277,0.185913493,0.045481982,0.120850276,0.098427796,0.145345995,0.082951897
0.663231695,0.611303161,0.722774188,0.107732302,0.103900876,0.123250905,0.443050417,0.056182335
0.43694489,0.647864579,0.519885993,0.171000603,0.058343619,0.585475944,0.137320657,0.063183269
0.663863399,0.53266497,0.165139336,0.136349839,0.281840154,0.096265262,0.165339641,0.550589
0.037739607,0.052502754,0.144625687,0.043147621,0.941526531,0.589208122,0.582586706,0.932050522
0.042945364,0.029666938,0.094400763,0.050974203,0.066744312,0.028085549,0.182229693,0.029279152
0.351205577,0.349501576,0.477278868,0.657764074,0.485307679,0.24877193,0.846591126,0.400635688
0.127336578,0.087648317,0.047449065,0.036001619,0.187353421,0.389136655,0.461410141,0.033560283
0.556767352,0.64162468,0.685740718,0.642834025,0.764557245,0.678227487,0.84678911,0.684651679
0.767339449,0.89397621,0.648970101,0.881793853,0.798785971,0.101034071,0.853272564,0.941560874
0.493914815,0.300072259,0.615212043,0.460127304,0.875486373,0.311338261,0.428702451,0.878994785
0.517529556,0.638384637,0.418786594,0.473690015,0.315047482,0.039599249,0.191099601,0.123887973
0.132529225,0.038375679,0.059905592,0.094261871,0.666632694,0.927340803,0.197287849,0.542139664
0.755548894,0.679300792,0.598837832,0.621688893,0.613367174,0.060099524,0.147588592,0.6439398
0.521079684,0.659106877,0.737301482,0.232233057,0.44802686,0.557108842,0.74891352,0.425869419
0.042932212,0.090744203,0.116233584,0.108788819,0.680368907,0.063458097,0.299065635,0.901807419
0.079519151,0.11437454,0.108333053,0.052319192,0.062113962,0.044516253,0.114944806,0.033073275
0.489449961,0.392669365,0.751219852,0.506792287,0.05090297,0.075438917,0.068291736,0.040309119
0.611415702,0.566247667,0.51827433,0.517202375,0.59519101,0.161136213,0.144794932,0.396535302
0.904680858,0.866521028,0.891572167,0.943323739,0.894665185,0.884821541,0.869944348,0.931155556
0.755049492,0.343497509,0.486694771,0.245428864,0.58584144,0.870331417,0.562057559,0.775928487
0.207133927,0.159481697,0.149568184,0.040970661,0.885026015,0.223147954,0.670185561,0.674399896
0.836358201,0.846851615,0.620751127,0.199826317,0.534789767,0.609912012,0.779411665,0.874675051
0.170565952,0.205558897,0.327288009,0.060090663,0.055753658,0.043280284,0.155448124,0.281608016
0.071223421,0.043056819,0.137630102,0.081336773,0.751297673,0.06061554,0.516586464,0.815774883
0.551278995,0.576492715,0.725083163,0.5207537,0.845449623,0.874110941,0.651176252,0.315889796
0.149777194,0.042479009,0.082547463,0.084537677,0.203542044,0.085764562,0.480746138,0.116408704
0.29650757,0.052327484,0.360906569,0.138482125,0.587521763,0.417682946,0.304942832,0.196503066
0.125940102,0.044167154,0.264311485,0.044989119,0.905795216,0.055833102,0.551440029,0.83521894
0.171099291,0.099898841,0.054932556,0.038309825,0.386078355,0.136281329,0.474768134,0.155328437
0.068060659,0.064515352,0.077695008,0.025625853,0.045006996,0.072842183,0.27492754,0.068132813
0.576615997,0.594057921,0.564204973,0.38389176,0.390563316,0.461061472,0.488062276,0.407701439
0.043961863,0.054707279,0.190127935,0.058088393,0.696022771,0.549927776,0.217826001,0.468932723
0.207514502,0.448347941,0.308911952,0.465194712,0.101416598,0.753791548,0.612296263,0.413215255
0.342556831,0.230557823,0.197441201,0.061939005,0.898566519,0.084865111,0.326018551,0.168212493
0.155307494,0.042365311,0.448383666,0.068186053,0.105116479,0.561128381,0.229138732,0.07147114
0.685625454,0.69124795,0.490273424,0.172891726,0.32534971,0.932742817,0.55382498,0.054445425
0.63035719,0.667429298,0.605844729,0.230718511,0.832268622,0.180369356,0.418964009,0.802084509
0.658491239,0.767783374,0.439355149,0.276432192,0.881516041,0.449565927,0.198310097,0.589452196
0.072508816,0.036318732,0.183678918,0.068648502,0.046474871,0.952537431,0.261973031,0.201077191
0.373748073,0.078095057,0.543876928,0.541610022,0.656060884,0.054279173,0.584905834,0.673481269
0.063978551,0.098320081,0.110548329,0.058228383,0.585912838,0.890794198,0.451894091,0.766736016
0.521917866,0.782582848,0.60359065,0.457797713,0.847204221,0.45332194,0.61856965,0.932720273
0.518067231,0.200626535,0.188742636,0.170236021,0.250889926,0.32546387,0.451177793,0.457030198
0.466592427,0.324590227,0.42175421,0.113990818,0.563606783,0.555488706,0.622138193,0.578118921
0.500766135,0.676395534,0.107521397,0.523033339,0.934948746,0.053561214,0.914173406,0.668112406
0.791551463,0.771022333,0.42795413,0.445095101,0.204092844,0.033294466,0.498561697,0.158957177
0.100032663,0.142435321,0.133959314,0.070897654,0.086487781,0.137153781,0.105478929,0.081941952
0.915418078,0.922251438,0.83027575,0.7156416,0.782569549,0.955583354,0.892078267,0.897194939
0.284552162,0.175642223,0.234118594,0.462646852,0.596971125,0.545659453,0.440246686,0.412515519
0.510856454,0.343605262,0.355824714,0.50440647,0.95752158,0.615253205,0.55114606,0.87323722
0.03750177,0.098892822,0.211490094,0.433605987,0.061687795,0.051749577,0.21861226,0.163694492
0.143143671,0.247051304,0.057278724,0.097866254,0.087121163,0.413440043,0.049598875,0.029185492
0.214939738,0.104625311,0.108453893,0.05375249,0.050042695,0.07604381,0.112990887,0.03389692
0.257860342,0.178746461,0.098569685,0.101055415,0.045120779,0.078045308,0.17864047,0.029616615
0.24125255,0.3561935,0.261848823,0.134514977,0.348090216,0.676204195,0.22086945,0.755470575
0.224335848,0.053742684,0.201235024,0.058947301,0.225308614,0.330210359,0.66616539,0.051961465
0.926137299,0.910142438,0.870342682,0.904528489,0.918462107,0.029871772,0.864354003,0.686965924
0.034888521,0.032755156,0.059895165,0.055327448,0.030780366,0.047460697,0.157955179,0.025223521
0.339627294,0.423941882,0.364365613,0.386330711,0.159274062,0.090211279,0.34584754,0.104572071
