MA1,MA2,MA3,MA4,MB1,MB2,MB3,MB4
0.92681276,0.938101154,0.954136725,0.645009123,0.897209229,0.544103008,0.195936071,0.544590994
0.140315724,0.504365994,0.125917259,0.72348716,0.220928743,0.476426538,0.40126032,0.349656272
0.904735854,0.932151343,0.915612966,0.935341863,0.466066103,0.07708828,0.168418741,0.034781511
0.051335463,0.091135081,0.094468674,0.067626811,0.065223533,0.306131827,0.066385268,0.300542588
0.313486093,0.202611585,0.500222428,0.315583285,0.759591028,0.591823325,0.785096574,0.547728235
0.455460989,0.469312816,0.523387685,0.026952012,0.457718182,0.320050206,0.482160277,0.374318428
0.049089415,0.385182862,0.100623129,0.513185709,0.250537822,0.072343624,0.15927019,0.08163772
0.520098094,0.189230479,0.566150666,0.890434466,0.461200159,0.303604294,0.381262704,0.531028846
0.308855533,0.148841325,0.490829528,0.068880784,0.696253621,0.48970839,0.873223773,0.754630857
0.561085845,0.412163078,0.512550644,0.868686361,0.514331321,0.697272626,0.528220586,0.705014349
0.090812985,0.514921753,0.07857405,0.512845091,0.354936761,0.480265659,0.639924363,0.350640205
0.491956358,0.072092037,0.25201212,0.572873312,0.08748047,0.07300352,0.058202005,0.042243431
0.464081316,0.429007106,0.452424385,0.066134068,0.43469935,0.241434004,0.154595496,0.153023347
0.554336757,0.858721021,0.118105244,0.900652614,0.146233581,0.253920482,0.389750899,0.372333522
0.904956245,0.480729753,0.9219108,0.916754573,0.83835888,0.497456945,0.486700958,0.412589309
0.315403185,0.767079752,0.474534529,0.66939356,0.374385617,0.506301777,0.515342486,0.478167614
0.049843871,0.033506079,0.478187544,0.355725063,0.04405307,0.037390578,0.035487296,0.029612987
0.05877701,0.397748761,0.038816015,0.498353685,0.681147898,0.359518429,0.865174176,0.34161855
0.552311366,0.244774696,0.5367025,0.539649412,0.039775782,0.08369177,0.057227639,0.056618359
0.664316965,0.485550543,0.541418467,0.563520488,0.377795877,0.373825379,0.111250048,0.413385003
0.03498695,0.109009315,0.055939606,0.051153841,0.864116702,0.86942354,0.922924333,0.936418775
0.54542702,0.48121344,0.540170724,0.565395417,0.926517273,0.676958266,0.947879786,0.599672888
0.538634243,0.090728242,0.476049089,0.045224816,0.147317354,0.15031414,0.455232214,0.138580109
0.366232013,0.286784585,0.594125341,0.544632646,0.285855595,0.044123871,0.028151823,0.033909354
