DA LL 1,DA LL 2,DBL1,DBL2,DB LL 3,DB LL 4,DBL20,DBL21
0.635938576,0.461275874,0.444630696,0.110762032,0.46165925,0.479140172,0.494392135,0.892247575
0.734239454,0.547700501,0.513663849,0.458963025,0.3886499,0.317723938,0.05847443,0.041467692
0.115261725,0.346940144,0.621683832,0.58705058,0.889901866,0.564857075,0.45020108,0.516206339
0.631339794,0.523986626,0.544880569,0.556951706,0.18652049,0.02138255,0.50089931,0.172681607
0.837134424,0.616076758,0.456358003,0.964912306,0.845289224,0.644536276,0.189529684,0.949472968
0.372864532,0.104746085,0.686920942,0.51976643,0.468663776,0.829995815,0.903868932,0.522281135
0.731354158,0.611122023,0.925003002,0.952147918,0.866132436,0.784819602,0.929354232,0.933852766
0.533558746,0.56834157,0.486147053,0.550465443,0.643776596,0.729634509,0.079727983,0.529758935
0.161800382,0.519369884,0.225552209,0.567275589,0.107530625,0.532472523,0.361318934,0.381278905
0.635037831,0.542487838,0.321340431,0.468449889,0.053754722,0.950127923,0.246970321,0.925968438
0.589748443,0.506522064,0.433652198,0.860178603,0.297813041,0.424189202,0.326554018,0.602323992
0.393621718,0.266219573,0.202010067,0.525286549,0.194717977,0.266509498,0.88287088,0.040694433
0.540379787,0.412265915,0.134571726,0.569903988,0.23502434,0.929427148,0.384129773,0.600040223
0.54791138,0.30176601,0.511594948,0.50755225,0.755262325,0.945868805,0.60370459,0.571844409
0.796506589,0.532096656,0.656009003,0.730968207,0.479259237,0.883762432,0.516910261,0.94890053
0.726427014,0.538337976,0.185671839,0.918505855,0.501160863,0.689306159,0.433869655,0.924816186
0.591672095,0.889923114,0.855492827,0.932090766,0.053171272,0.790734757,0.288614738,0.533764667
0.653061239,0.369831471,0.136219144,0.602619533,0.42807235,0.923064622,0.459105558,0.608437582
0.108944966,0.083382121,0.262163661,0.390721734,0.163558081,0.044111165,0.314236879,0.056135629
0.460259117,0.439422654,0.165137566,0.167209899,0.041836265,0.03923143,0.304989363,0.094241603
0.090544401,0.443791457,0.327185236,0.062405381,0.034642,0.024662872,0.063005822,0.031362282
0.400869863,0.085157432,0.151331302,0.527764438,0.077349627,0.029060049,0.657472186,0.063832461
0.764734771,0.646486438,0.331124496,0.485217247,0.103069016,0.544549771,0.255686267,0.049823232
0.561665918,0.568627474,0.715551585,0.098474912,0.758047205,0.86296181,0.141244367,0.559020541
0.434936951,0.479619825,0.111018169,0.597177491,0.357117834,0.02891687,0.48526598,0.58191962
0.903798189,0.932073985,0.740365673,0.519884361,0.47804872,0.93775578,0.747005897,0.525201327
0.133589579,0.061961528,0.564297778,0.286419904,0.467315481,0.833440606,0.436956146,0.057543239
0.819860665,0.587011729,0.49907291,0.961174753,0.676199784,0.491041922,0.458181903,0.942574819
0.104184418,0.065979674,0.39683694,0.504275268,0.058580105,0.665011268,0.668940299,0.575380897
0.28574529,0.154115766,0.40127688,0.660030613,0.261489948,0.222469451,0.464162443,0.103277282
0.196363789,0.075386304,0.249515577,0.208191589,0.357524421,0.106680755,0.380184911,0.198203826
0.198715682,0.089224515,0.125967358,0.228468217,0.099918254,0.284018739,0.470168324,0.095478871
0.437169847,0.659309313,0.404512438,0.465925383,0.144075162,0.928223387,0.111697907,0.123028852
0.864001545,0.440139543,0.893889913,0.945357078,0.868388068,0.517822954,0.043527321,0.937287621
0.519014557,0.612300429,0.603747138,0.645391669,0.542356748,0.670250062,0.467672645,0.611638819
0.318558536,0.552620976,0.57288788,0.945196437,0.071249791,0.84141249,0.905971021,0.940847762
0.363405006,0.598440348,0.327118863,0.5691676,0.399758808,0.387987911,0.710157633,0.06173851
0.559142527,0.49074942,0.540555025,0.08778472,0.368450645,0.120765114,0.502373234,0.497768486
0.57935639,0.475023742,0.638280757,0.432076127,0.874389676,0.812542618,0.152367255,0.543658121
0.101496049,0.446585203,0.186900531,0.617350884,0.174612984,0.640002042,0.509529839,0.615250106
0.453840967,0.048342666,0.730143376,0.843254268,0.514412309,0.370278988,0.658894824,0.79623032
0.337437918,0.098775577,0.698785961,0.904151096,0.679716264,0.707251387,0.465358732,0.882961913
0.592308977,0.62761528,0.645950697,0.602901533,0.707233358,0.573521171,0.635614009,0.626174144
0.461968663,0.13070557,0.508162216,0.524571976,0.678036859,0.217438388,0.143218621,0.515010714
0.369842218,0.46572955,0.353209897,0.472051159,0.470683763,0.393719291,0.141043102,0.476792603
0.634080951,0.22322896,0.312546776,0.453237845,0.509841272,0.720520666,0.10427224,0.648601911
0.414511988,0.809161975,0.500307195,0.514101374,0.598357741,0.712443131,0.237624395,0.56039638
0.914601077,0.941395447,0.945184275,0.950351943,0.883483217,0.630236797,0.744459126,0.938120317
0.850435826,0.433592773,0.672597838,0.435121257,0.373678801,0.922311308,0.816357031,0.901778359
0.535223914,0.371191666,0.33912609,0.872052539,0.612491332,0.706734428,0.235366509,0.643982341
0.739223443,0.874209936,0.868988883,0.882597665,0.890708796,0.509228197,0.829612002,0.874668468
0.611078523,0.399799567,0.530439735,0.596412481,0.640926801,0.493087373,0.563678587,0.776270032
