XA L 5,XA L 6,XB L 7,XB L 8,XA L -5,XA L -6,XB L -7,XB L -8
0.497300722,0.70032748,0.463672036,0.087527157,0.04448962,0.04205997,0.048388607,0.317928582
0.511834454,0.706607386,0.779776412,0.560233247,0.521791728,0.391331626,0.047354014,0.525653654
0.355684859,0.045318722,0.027409547,0.026985135,0.052095884,0.360835789,0.029473789,0.323579929
0.924529013,0.528552033,0.560037221,0.658572088,0.59030104,0.522333663,0.893977929,0.630034578
0.441315417,0.35495579,0.491601927,0.466567094,0.084248151,0.289874365,0.439977115,0.074465041
0.584650066,0.780726455,0.588678255,0.733254452,0.405190093,0.085837032,0.742753972,0.237114968
0.105198699,0.142413141,0.040137101,0.139914465,0.410290874,0.599619255,0.039512915,0.268701936
0.920160865,0.695157912,0.511317129,0.166683473,0.89314391,0.467731718,0.947464551,0.692582225
0.143827185,0.656341539,0.076728996,0.05840462,0.290561574,0.427011583,0.064319092,0.585852794
0.472669547,0.090979349,0.084725702,0.055376173,0.435960048,0.817139084,0.027540018,0.482307909
0.266844687,0.41856884,0.057501573,0.483516311,0.048720494,0.190821589,0.51773604,0.168736148
0.16196395,0.31717266,0.526995449,0.623038255,0.075294244,0.689382675,0.398607487,0.514132844
0.080820398,0.306832403,0.495739468,0.495425226,0.07219653,0.383511056,0.260496754,0.920919644
0.094462828,0.070288763,0.049726728,0.036612667,0.065747087,0.054914693,0.040009466,0.080249141
0.181610075,0.096622507,0.141763938,0.411072326,0.714820775,0.456314665,0.08943335,0.077297995
0.515431061,0.065058989,0.096501285,0.436488371,0.659798585,0.0498685,0.016234617,0.020063214
0.229763221,0.392173642,0.480962889,0.791713222,0.257065184,0.173515399,0.939895852,0.711465194
0.533397074,0.549573315,0.526318733,0.521561702,0.523347679,0.43506429,0.15056163,0.544088014
0.539233353,0.709413717,0.56237509,0.037869879,0.537547659,0.409471364,0.454954486,0.056859774
0.134571191,0.91807495,0.529588972,0.944049891,0.774981706,0.356207034,0.905258319,0.952092281
0.51780541,0.703355649,0.518740954,0.480047825,0.158395914,0.689412729,0.57023668,0.892816486
0.547843025,0.079074706,0.502562304,0.469269439,0.838531817,0.204662068,0.597040339,0.572375144
