SA LL 1,SA LL 2,SA LL 5,SA LL 6,SB LL 3,SB LL 4,SB LL 7,SB LL 8
0.169150279,0.127104859,0.741418869,0.245018351,0.745588813,0.756272314,0.587220564,0.913238235
0.41246302,0.588803922,0.083017783,0.590935292,0.593242571,0.54846071,0.661564884,0.657908035
0.282432184,0.300198602,0.380852485,0.247424918,0.352713189,0.246389439,0.264178298,0.142246831
0.801999506,0.743400292,0.828462484,0.787293254,0.743974867,0.897388959,0.603947828,0.842934782
0.146488947,0.091274153,0.238214546,0.545530372,0.629419043,0.492564623,0.595111148,0.090457687
0.953854819,0.926153852,0.931990874,0.935291254,0.950042381,0.908945779,0.897873922,0.907265289
0.913506635,0.924781016,0.876916575,0.909786936,0.906246498,0.941203313,0.61375735,0.912428101
0.401155483,0.086348617,0.171054674,0.126895427,0.036188337,0.053520496,0.206428347,0.1659919
0.490102153,0.369160349,0.445091217,0.124566587,0.137362239,0.14311458,0.041246209,0.036498645
0.290172032,0.051250936,0.225256184,0.498408503,0.536445905,0.492152043,0.857020206,0.043640565
0.440944,0.544379267,0.568695438,0.519393101,0.039827673,0.037097416,0.084351047,0.103427618
0.911346318,0.488799789,0.858424368,0.412889902,0.155167548,0.1680642,0.305667897,0.469149522
0.094758698,0.113753703,0.174156402,0.101701435,0.075115558,0.077004327,0.046658569,0.13048593
0.595226069,0.531501618,0.507207478,0.598055547,0.483595268,0.477939129,0.392760543,0.606385954
0.038666759,0.191060913,0.296952184,0.33450028,0.148188034,0.201161495,0.158476627,0.468416945
0.596399956,0.142206585,0.928433871,0.945940303,0.197070839,0.230868788,0.05075863,0.130240377
0.054480346,0.153465238,0.117784,0.244293084,0.701222018,0.386234952,0.930415338,0.834155065
0.101549448,0.130733954,0.042810353,0.087347308,0.035184745,0.042146671,0.146674355,0.296010439
0.48172725,0.484790903,0.433792763,0.045215614,0.053919309,0.063008798,0.055956734,0.034819335
0.957542569,0.948891788,0.744147981,0.935716724,0.58379164,0.714309961,0.756739753,0.538926958
0.478962655,0.327096015,0.33672048,0.112358201,0.210816123,0.266414282,0.076335448,0.614860942
0.135792952,0.156932594,0.149852152,0.12774875,0.451843703,0.143731965,0.553597781,0.090364169
0.428917368,0.527914387,0.478900602,0.044766947,0.398241195,0.050744114,0.032282577,0.372287679
