FA L 7,FA L 8,FA Lla,FA LLb,FB L 5,FB L 6,FB Lla,FB LLb
0.877433319,0.383653966,0.913011812,0.504697767,0.184700153,0.903740653,0.424444299,0.049905785
0.588420454,0.219760598,0.640738027,0.786534213,0.652503009,0.5288892,0.364712648,0.663597497
0.109326233,0.273691303,0.547530737,0.178790428,0.730022945,0.124737113,0.845205687,0.447602594
0.397835265,0.518119618,0.94373064,0.899784448,0.199399167,0.503657466,0.561675126,0.930887819
0.520927666,0.437358177,0.581001043,0.323047672,0.575868821,0.312044595,0.91409023,0.875174544
0.812254836,0.874744199,0.840883173,0.684826964,0.118009009,0.916644211,0.557142009,0.591592426
0.0727749,0.763309046,0.21211826,0.877237004,0.86048165,0.921618837,0.871663292,0.829471195
0.402608943,0.916875588,0.882865363,0.898417386,0.928032308,0.940745963,0.682422781,0.943101297
0.503796924,0.307294751,0.700488257,0.547003153,0.530948966,0.786753084,0.698156956,0.615681589
0.503504923,0.537157694,0.670592893,0.723946482,0.570863761,0.542746064,0.758738309,0.719086238
0.881442157,0.839698601,0.807991598,0.906409576,0.887794378,0.883223858,0.894229897,0.898556227
0.888900802,0.554463406,0.709933789,0.893005753,0.158803305,0.13337466,0.299826956,0.13230082
0.909444126,0.590995632,0.651043939,0.914542696,0.889040922,0.548422187,0.473230828,0.541807098
0.877519841,0.765404532,0.562639305,0.934205612,0.916913738,0.894397552,0.790206126,0.855949428
0.722369939,0.746901988,0.841896213,0.777336906,0.613399166,0.844656451,0.68579247,0.87528895
0.547054577,0.518117456,0.465156383,0.821864198,0.495152985,0.499493124,0.555408476,0.841765788
0.392072684,0.806240944,0.905764914,0.937803635,0.3780945,0.893993113,0.915088011,0.919757091
0.946517465,0.92888975,0.812444053,0.733248552,0.949652638,0.954396824,0.879644885,0.766039538
0.499942633,0.714470908,0.44846893,0.90999079,0.867285623,0.845363995,0.749393558,0.885368647
0.876802642,0.825939039,0.701849692,0.734827058,0.646429171,0.412701263,0.810233526,0.769848109
0.683961534,0.574468595,0.851863655,0.88312804,0.534246382,0.555935888,0.932998725,0.916011778
0.555859599,0.418434034,0.843243055,0.819230206,0.615660938,0.479691418,0.19307123,0.403610539
0.671382197,0.604441947,0.889070431,0.809282025,0.485830443,0.887423651,0.693336063,0.915798841
0.26603776,0.309343225,0.161161181,0.584919963,0.370209742,0.477827384,0.216106441,0.162649609
0.471282591,0.582932297,0.728619833,0.678701856,0.37451647,0.586667049,0.558479646,0.563892277
0.150327575,0.497587632,0.153651741,0.426162292,0.535213095,0.14076245,0.199439734,0.289927064
0.780148691,0.924106086,0.873901813,0.854560865,0.633784284,0.930721172,0.79002102,0.807117798
0.404243313,0.948180892,0.743139144,0.625426425,0.541741182,0.129864734,0.858805206,0.822542182
0.645571888,0.784980857,0.400856602,0.621353384,0.911443321,0.898841584,0.920279658,0.578418824
0.807495076,0.707420887,0.856245876,0.928856343,0.803861618,0.799023311,0.830118085,0.804761789
0.849665743,0.864626361,0.409619041,0.619933336,0.871446111,0.464831279,0.772954473,0.529868321
0.616956364,0.53740134,0.931041026,0.435324906,0.864637319,0.514033755,0.772254135,0.923154818
0.852331175,0.160789228,0.091627696,0.526185345,0.146445367,0.092218426,0.569096554,0.380387744
0.491672746,0.469281954,0.1618151,0.37744299,0.720227912,0.508355794,0.867094862,0.74335761
0.925472009,0.934023419,0.929863468,0.897053758,0.594058953,0.526819469,0.837032495,0.912355258
