UA L 1,UA  L 2,UB L 3,UB 4,UB L -1,UA L -2,UA L -3,UB L -4
0.304349922,0.06344463,0.207444234,0.30607649,0.335764029,0.033069367,0.202955328,0.177685276
0.075064681,0.025676967,0.034263473,0.027071068,0.043021342,0.043986046,0.051004323,0.038838816
0.333525578,0.304498091,0.322906047,0.516459287,0.513647974,0.225754911,0.4695425,0.057188502
0.302987935,0.298331148,0.090471849,0.044785592,0.041026258,0.234221639,0.211886186,0.04265201
0.089649728,0.497952266,0.414594001,0.473744086,0.434126416,0.216507355,0.45649762,0.198426893
0.562270076,0.518781037,0.802233278,0.849675476,0.654117249,0.493703375,0.510776649,0.818059121
0.363541361,0.706064546,0.133558081,0.467360234,0.441218917,0.366965789,0.676454122,0.399408661
0.42104463,0.895319105,0.407675978,0.252834213,0.315090794,0.397925202,0.911719699,0.401662044
0.531481924,0.385271383,0.096879856,0.175018318,0.109819778,0.348923592,0.408388681,0.078264142
0.469768132,0.386273827,0.359317888,0.336899747,0.319195988,0.264722356,0.3308443,0.272312422
0.328031901,0.341200742,0.358449868,0.259465086,0.481732492,0.441279032,0.405966746,0.242565838
0.370572352,0.35243903,0.494706769,0.61351865,0.488552463,0.324849931,0.622230977,0.624060623
0.070833373,0.084654756,0.037493392,0.351050548,0.460231067,0.234687048,0.061517535,0.35756703
0.624912606,0.602846376,0.69263797,0.412396565,0.432019071,0.904791154,0.458204862,0.530484752
0.666616865,0.379294465,0.892222687,0.920776854,0.93074781,0.578408438,0.391520985,0.890471682
0.031082937,0.036786671,0.037365555,0.047446302,0.09038352,0.033464833,0.030161981,0.041511719
0.050670264,0.064963412,0.065147994,0.075392975,0.051234906,0.046381176,0.065882393,0.069068348
0.032646991,0.027478666,0.032557937,0.035718449,0.031550865,0.026504835,0.025121916,0.032397414
0.903239207,0.940283181,0.494265275,0.060330714,0.193775633,0.895293112,0.928094852,0.054692863
0.618200228,0.64082044,0.434537925,0.470844303,0.451155855,0.450614952,0.446212498,0.561044753
0.04300709,0.049014894,0.040686421,0.051674801,0.102881502,0.034491814,0.039405896,0.051659164
0.0552688,0.068318239,0.042425235,0.158923539,0.134125308,0.027920165,0.057287071,0.036595381
0.651589215,0.593341687,0.388000762,0.411468421,0.453439563,0.635807692,0.650792816,0.383229833
0.07439522,0.18589024,0.401167142,0.263087297,0.243885543,0.041498702,0.175546896,0.331773092
0.549886859,0.858589264,0.823425778,0.813031697,0.748451193,0.834528732,0.850064924,0.737103216
0.046072259,0.15316055,0.452312202,0.498977092,0.531574999,0.397957718,0.045667146,0.435286763
0.812775172,0.877791973,0.62157094,0.574892031,0.611598611,0.805776591,0.545386911,0.603605749
0.36984924,0.359859969,0.083966338,0.064841413,0.138799885,0.346439818,0.314466985,0.062055596
