XA L 5,XA L 6,XB L 7,XB L 8,XA L -5,XA L -6,XB L -7,XB L -8
0.538982783,0.484526938,0.506009447,0.145526491,0.638226256,0.327515595,0.516773309,0.044423233
0.548541655,0.674227841,0.561720147,0.545992706,0.062470252,0.052207239,0.029708365,0.060820426
0.295711728,0.265977212,0.060597374,0.040296281,0.022090472,0.06363736,0.161205821,0.095966275
0.039841435,0.426526362,0.068081365,0.090958314,0.515769354,0.351734148,0.057015373,0.120767871
0.544200584,0.078394669,0.921112912,0.925216788,0.555120125,0.08653825,0.04899459,0.873060831
0.409210088,0.081145234,0.026380406,0.067968591,0.044560423,0.030468971,0.028973795,0.439113659
0.035782289,0.047373071,0.04715089,0.043857475,0.0572247,0.062796276,0.03744865,0.033144984
0.25412539,0.357204116,0.060101683,0.031742291,0.056156484,0.431235418,0.134151571,0.02735412
0.227619017,0.092620969,0.080939152,0.50025855,0.045061296,0.178701347,0.409319384,0.505037236
0.446248326,0.571923811,0.043592863,0.550660003,0.143639487,0.062385006,0.055682593,0.126240221
0.044486363,0.06743255,0.062413205,0.101999246,0.313324226,0.049158577,0.031447241,0.031728944
0.143892541,0.090777114,0.308928313,0.215524064,0.218819888,0.128136438,0.083093104,0.085172949
0.325081987,0.044985653,0.029676632,0.033007479,0.063727922,0.037635419,0.027859317,0.064130969
0.031452739,0.031999249,0.025845212,0.040471656,0.05005611,0.029419853,0.040258095,0.097359815
0.088766781,0.085894417,0.10492084,0.057100041,0.053901192,0.079894003,0.034118976,0.06971644
0.031632369,0.047177203,0.047369435,0.036235569,0.069704806,0.062501206,0.043997689,0.057957826
0.065194539,0.379714705,0.064881412,0.487356705,0.062490216,0.058504233,0.496708348,0.032483146
0.062147387,0.05647228,0.049176423,0.032040898,0.033519484,0.076952657,0.039126369,0.019675754
0.439935585,0.357044114,0.082314107,0.533826091,0.116653211,0.464827105,0.046258903,0.745456858
0.529615587,0.552831976,0.111434001,0.141993157,0.056815223,0.893380805,0.183733806,0.633006655
0.08756615,0.11794143,0.426858703,0.098006663,0.089878422,0.069524485,0.024953621,0.167331016
0.049408366,0.086483953,0.0856914,0.523536008,0.17052792,0.208544187,0.21402769,0.094289386
0.415091447,0.919888998,0.06391378,0.639005335,0.483948658,0.491631794,0.424954965,0.0542426
0.033351832,0.046735266,0.030966293,0.033638478,0.032474,0.049508788,0.03204491,0.032488377
0.030962925,0.066154219,0.047903611,0.083697131,0.037536278,0.074842634,0.026341798,0.045427266
0.063629007,0.074384178,0.039103156,0.103889843,0.0598176,0.066210388,0.055759153,0.080555567
0.03476552,0.040428318,0.034128049,0.603759921,0.049262635,0.039324022,0.090952613,0.484780327
0.048332183,0.05822101,0.056803106,0.022681742,0.031739285,0.055890623,0.037081465,0.044769884
0.046994949,0.074181506,0.55786856,0.081219533,0.048443829,0.098026353,0.038685292,0.224079426
0.051990259,0.190728239,0.049991954,0.076729509,0.069273048,0.059470013,0.043485581,0.310211396
0.058229962,0.257640237,0.022494442,0.424258914,0.038904152,0.032471016,0.06058561,0.629460413
0.045218646,0.053744653,0.035445797,0.455902193,0.228660262,0.078934953,0.899670995,0.182530204
0.511000956,0.50440267,0.064232491,0.527691042,0.235529365,0.05158289,0.5546533,0.301590549
0.099700032,0.135736372,0.069341828,0.055595566,0.049202005,0.064061839,0.064987068,0.449845083
0.078838811,0.107214283,0.080332428,0.115496,0.09053918,0.518606744,0.350075046,0.102101377
0.340432893,0.288350653,0.050073885,0.050025901,0.844559389,0.484552688,0.391539211,0.125123617
0.387626667,0.5068738,0.606995132,0.904364659,0.228884765,0.392730257,0.463096655,0.136103337
0.046957539,0.233851439,0.027728422,0.118184143,0.144067518,0.061396818,0.033035721,0.13975317
0.048765544,0.04669059,0.036913128,0.025586459,0.026409131,0.027784764,0.022763553,0.540867828
0.031547079,0.042776368,0.028613789,0.435719479,0.035222154,0.032491202,0.026075901,0.028606434
0.372955554,0.226477084,0.096683671,0.433617199,0.873086243,0.867170683,0.386623537,0.071821541
0.043700106,0.053202456,0.033283906,0.026869655,0.030360473,0.041588268,0.016786066,0.055597264
0.068638789,0.0288642,0.040611947,0.031591915,0.016379353,0.017560293,0.01937113,0.027460359
0.049023392,0.162706146,0.040406611,0.088226999,0.518971823,0.382894606,0.039649151,0.067290471
0.065704173,0.043967959,0.043782089,0.048202664,0.052326029,0.080213477,0.065923539,0.102880337
0.039129427,0.061095688,0.03436212,0.018128645,0.03023139,0.027922546,0.042158392,0.021226345
0.487092696,0.367163114,0.481862253,0.415520429,0.386525869,0.141356571,0.122171542,0.108447853
0.073485666,0.090558408,0.066951047,0.081503818,0.059106459,0.057555371,0.070203544,0.098049784
0.053841868,0.087156903,0.057447954,0.042085914,0.026683275,0.064770099,0.024871998,0.018778585
0.025115416,0.049555382,0.025136412,0.038931699,0.026921332,0.067286826,0.023405455,0.057307533
0.526584042,0.75392491,0.61987652,0.499739147,0.748348937,0.726810346,0.92666081,0.869466909
0.534095395,0.371865761,0.547055351,0.671854289,0.898781506,0.440977787,0.745236807,0.55418365
0.482887059,0.111863593,0.817545721,0.711736123,0.424116641,0.415926533,0.323102714,0.234395363
0.839445511,0.135939448,0.321763441,0.161598717,0.498844102,0.412932254,0.015799293,0.081735834
0.386454919,0.446910301,0.039144846,0.408232571,0.916837204,0.119776844,0.024896503,0.306008053
0.055767871,0.064668362,0.039465142,0.042839363,0.021653185,0.033429434,0.029373974,0.027708566
0.034321995,0.051154501,0.064475365,0.078403598,0.051567259,0.050356475,0.215765258,0.09068649
0.795846619,0.891748134,0.892645468,0.830625035,0.900138645,0.703035786,0.964748216,0.949891231
