SA LL 1,SA LL 2,SA LL 5,SA LL 6,SB LL 3,SB LL 4,SB LL 7,SB LL 8
0.021508784,0.042104362,0.430945165,0.319106777,0.10868097,0.037456085,0.170941252,0.32260498
0.181289995,0.076365825,0.092835886,0.09316459,0.06044597,0.044189886,0.41255618,0.327828729
0.422390831,0.477781899,0.504925305,0.558617867,0.748857548,0.903392383,0.797859918,0.815781198
0.070982709,0.261895822,0.109771797,0.435575619,0.149769468,0.08480256,0.059808777,0.508792605
0.114247566,0.038475924,0.405554706,0.086985312,0.190879916,0.095726347,0.054558543,0.065872019
0.330744878,0.05730194,0.553296912,0.105061008,0.124017379,0.123441981,0.125545622,0.08016039
0.801724341,0.857366799,0.828635204,0.463035728,0.855906256,0.900896423,0.68506066,0.751751861
0.033840142,0.05214948,0.098346494,0.068268871,0.475635242,0.524264086,0.546237829,0.057052041
0.046553824,0.045028578,0.087772289,0.063593449,0.604006241,0.507338513,0.674869395,0.660469299
0.103125304,0.088194189,0.112978406,0.085148287,0.044424874,0.057653508,0.361934976,0.054646163
0.582430165,0.614352931,0.458352844,0.459535153,0.525983191,0.358558323,0.689288292,0.046996105
0.417540727,0.459349631,0.205074479,0.437634374,0.091037158,0.500330054,0.04766254,0.037142543
0.282636087,0.084801178,0.110416676,0.037779196,0.308669487,0.429923623,0.09280726,0.192539282
0.726930329,0.876396111,0.829604917,0.14354153,0.567846023,0.507461287,0.77820966,0.565009832
0.019065666,0.021093587,0.025612844,0.031073352,0.024110865,0.025495745,0.115839923,0.037891884
0.908969168,0.882712299,0.914148353,0.842066328,0.908861443,0.938845387,0.908406187,0.853592701
0.450313069,0.315628477,0.682614842,0.483352711,0.230344625,0.164266086,0.424007155,0.573427507
0.048043973,0.072293244,0.116081238,0.089350204,0.069601487,0.058218871,0.036143412,0.05686335
0.516842124,0.569497224,0.55907745,0.620692518,0.549605101,0.604206042,0.62216075,0.551813668
0.123586578,0.137642301,0.271119629,0.364808032,0.074477998,0.087724905,0.038912041,0.076349564
0.109013331,0.07251727,0.131863127,0.181663196,0.392480831,0.09381739,0.614540418,0.052905279
0.572924982,0.535010508,0.122990053,0.682832392,0.631596012,0.552893954,0.84237964,0.099377343
0.910462146,0.303821678,0.583286919,0.490414833,0.031520189,0.043857659,0.887819155,0.63521206
0.022759211,0.048333247,0.031064269,0.068411707,0.065449705,0.029877777,0.045642999,0.060161806
0.031329514,0.037575444,0.036994599,0.03685795,0.028827335,0.034893487,0.112138689,0.223211394
0.027583063,0.077037766,0.112908123,0.061988481,0.030738412,0.042257184,0.083606706,0.08359205
0.03749674,0.037881408,0.042714643,0.039340063,0.094487666,0.03871799,0.121927485,0.106362872
0.115435213,0.104189418,0.255778097,0.484205984,0.210393125,0.195369716,0.485364753,0.070995814
0.156370282,0.469215737,0.132310187,0.217835705,0.321670666,0.348119096,0.074833996,0.37578265
0.954550907,0.961483571,0.572236569,0.072523312,0.543248519,0.566723042,0.809523406,0.780706649
0.506815644,0.510697656,0.115994703,0.471290136,0.063548881,0.117574419,0.105220341,0.29147008
0.247255808,0.455664267,0.114766693,0.645060141,0.161162494,0.546313794,0.058977511,0.040751044
0.254813648,0.458263093,0.178847621,0.032989128,0.074465478,0.069380165,0.143111513,0.20717916
0.298416042,0.385613038,0.289303498,0.135046478,0.183516533,0.166921221,0.323416839,0.042683828
0.370267442,0.448026227,0.397012441,0.554389638,0.522113318,0.442782177,0.447894174,0.303659513
0.253212912,0.383014014,0.454406584,0.084503118,0.080035975,0.130312741,0.060266153,0.098324009
0.049300158,0.078287202,0.112585539,0.109543697,0.285718947,0.800613704,0.536716212,0.565998437
0.014132181,0.02841507,0.029179254,0.277046796,0.03090109,0.026591784,0.147688165,0.07040084
0.026089213,0.036870054,0.059607585,0.04249515,0.034082613,0.361411489,0.067118019,0.095365737
0.042629885,0.074921164,0.198409806,0.10380707,0.083704704,0.08695102,0.03336564,0.030726305
0.637228751,0.518721607,0.58604219,0.559754468,0.492509056,0.494126584,0.648665398,0.570819629
0.928089515,0.937398212,0.527774406,0.091465057,0.33718815,0.073312965,0.152192062,0.066182973
0.388221745,0.221299801,0.452531387,0.317025915,0.515088251,0.524686256,0.828072381,0.15636741
0.069067113,0.067304795,0.13357241,0.10164478,0.18235099,0.107997898,0.175469834,0.18474072
0.840191314,0.859963515,0.681318089,0.551008712,0.903719838,0.876727198,0.619231033,0.736031112
0.527559883,0.509831957,0.452192381,0.894078664,0.832348645,0.868923862,0.904668153,0.922987974
0.223468501,0.068061319,0.189937462,0.063407197,0.056255872,0.098723693,0.06570663,0.767832135
0.566717564,0.422870721,0.39932325,0.023127111,0.510154775,0.784251657,0.96453749,0.205418189
0.06268771,0.122146288,0.038237091,0.041628106,0.034289733,0.094389774,0.08531601,0.075450953
0.486473955,0.213951922,0.097167725,0.668620387,0.479884793,0.103638613,0.221517547,0.108834795
0.025668871,0.047416531,0.062156397,0.067184242,0.061395957,0.031399837,0.111125916,0.031911291
0.03456375,0.103832368,0.099700809,0.417425798,0.098188923,0.089881796,0.095749127,0.037856223
0.029208856,0.03905954,0.497904754,0.065231541,0.070013305,0.051099249,0.13659978,0.174678791
0.063136232,0.220892885,0.102607323,0.429351286,0.099213056,0.314523532,0.280035777,0.765553047
