FA L 7,FA L 8,FA Lla,FA LLb,FB L 5,FB L 6,FB Lla,FB LLb
0.546525111,0.469189696,0.634920248,0.660025291,0.177230515,0.234951386,0.620487546,0.071888979
0.563011923,0.712300489,0.939577271,0.642891725,0.512037242,0.842659441,0.759102185,0.821144947
0.310269927,0.371671656,0.03424306,0.36763336,0.429942363,0.423052183,0.503684661,0.230118321
0.463978038,0.647287242,0.557082816,0.89804035,0.404313459,0.479873239,0.091073753,0.15219401
0.473213843,0.817021596,0.836998004,0.822852971,0.792114666,0.475761565,0.509886982,0.714181786
0.810505877,0.568213314,0.374957468,0.750094921,0.525152595,0.546312424,0.640034123,0.634512087
0.925411354,0.935744308,0.914872366,0.857544663,0.927355714,0.600370851,0.939059994,0.930791374
0.489244775,0.597467038,0.393047003,0.314080147,0.486390084,0.526268101,0.086585745,0.350126499
0.604455311,0.553377151,0.514353036,0.445840374,0.573152268,0.563946287,0.580517337,0.46362929
0.746385947,0.846500099,0.905594684,0.778060384,0.92137586,0.879583941,0.92044673,0.769822137
0.581281527,0.598319212,0.630038836,0.812324721,0.5910421,0.588681322,0.731946626,0.611600941
0.157973288,0.129622616,0.688102414,0.25785533,0.063505931,0.504446737,0.554651678,0.331241205
0.524940669,0.520493985,0.756852058,0.501182948,0.513248952,0.496591808,0.522071836,0.520784111
0.114183245,0.354336434,0.128052748,0.174191025,0.936630872,0.113510692,0.350408779,0.476599031
0.115275987,0.246113795,0.474889666,0.084178589,0.518205158,0.122751576,0.487985959,0.529681476
0.177218826,0.434376803,0.536734072,0.496379632,0.156067745,0.18355114,0.472499275,0.039981976
0.1997072289999999,0.042882589,0.075943771,0.062334714,0.020755158,0.025139078,0.07376425,0.13835191
0.859611482,0.765009149,0.826902749,0.869894542,0.878241774,0.85737762,0.938665247,0.942412432
0.534220932,0.703212763,0.692469719,0.890433639,0.467246491,0.81390633,0.612846736,0.592163228
0.106772595,0.278160564,0.066595272,0.18867034,0.090775455,0.102405986,0.300359327,0.085765904
0.531420031,0.177642431,0.122322328,0.624577932,0.0322343469999999,0.519767992,0.0651519,0.159686115
0.508481599,0.180666274,0.216378589,0.765845028,0.447789261,0.847155233,0.475419962,0.886289487
0.582847661,0.537576916,0.603503183,0.900522445,0.48279508,0.908870566,0.649122212,0.760916489
0.405700837,0.266778491,0.351290901,0.419365743,0.074684949,0.132216257,0.19676521,0.09348971
0.531720532,0.925282619,0.719925293,0.829372443,0.529404052,0.932974589,0.386287394,0.369439345
0.71260929,0.490643438,0.430927892,0.925505171,0.134089763,0.829352231,0.257730583,0.053272216
0.942832736,0.898836324,0.720013908,0.699402282,0.493940306,0.112589855,0.651259709,0.527005348
0.507286373,0.351183582,0.547631957,0.544151174,0.51318081,0.53029772,0.552824828,0.789031151
