JA LL 1,JALL 2,JA3,JA4,JB LL 3,JB LL 4,JB3,JB4
0.043428027,0.039700679,0.031048601,0.036865337,0.044906214,0.025869083,0.043101421,0.027741842
0.032998987,0.029151191,0.159633373,0.028084581,0.685521033,0.150004527,0.659666699,0.454568343
0.040422785,0.018414772,0.077167753,0.048995805,0.510876552,0.038301194,0.265133211,0.487836508
0.035702225,0.026894196,0.137431207,0.049332469,0.386045138,0.050573784,0.162647954,0.553364797
0.033764003,0.018143642,0.052454243,0.027320307,0.058915266,0.064893105,0.137834063,0.114954196
0.379822184,0.264210145,0.148163274,0.102610902,0.131277703,0.278986794,0.471311829,0.029241174
0.790712238,0.779305514,0.864300487,0.841627199,0.730262102,0.876410277,0.742550022,0.850646673
0.070131694,0.041139437,0.114400501,0.127225788,0.490486707,0.055599803,0.478132105,0.401865376
0.101800629,0.070227018,0.150230908,0.043752012,0.676332269,0.046918638,0.472543706,0.660980823
0.103619765,0.386367812,0.120015873,0.056709888,0.680681402,0.084683229,0.630288436,0.544399613
0.926556534,0.677809787,0.764392141,0.855398722,0.932730383,0.384693264,0.875573233,0.946566609
0.032895901,0.027987297,0.448464575,0.049961298,0.493145018,0.050429879,0.849635524,0.528634314
0.107626888,0.100983422,0.112247216,0.094846003,0.379601736,0.107532023,0.164524737,0.201378058
0.061450835,0.034055336,0.141149374,0.062825714,0.093381303,0.056303241,0.283642613,0.092282871
0.06916525,0.058768073,0.024311678,0.022827571,0.034126358,0.045476693,0.03564973,0.025398603
0.626961676,0.642605648,0.613767671,0.580311603,0.939390152,0.884847659,0.862557563,0.88682367
0.250415182,0.051270809,0.604598765,0.143210681,0.337694194,0.078594436,0.417789092,0.438603602
0.050679861,0.093410757,0.141919687,0.075815285,0.494104089,0.187675856,0.158514307,0.49056307
0.580886703,0.607561537,0.39479134,0.649194289,0.699358137,0.594644777,0.700272908,0.746015209
0.083498566,0.04537669,0.063402191,0.070448111,0.136643508,0.062300693,0.449845831,0.591285965
0.271788884,0.029790087,0.070026979,0.057973888,0.536712182,0.502833577,0.47272471,0.226281583
0.683448976,0.451433471,0.268578988,0.14082265,0.362761366,0.114568262,0.532427556,0.552819454
0.052465845,0.068445115,0.060116963,0.039776849,0.069027432,0.049026353,0.145692339,0.066393536
0.020048495,0.015942112,0.026130956,0.021729581,0.023245884,0.025671476,0.066406366,0.040125353
0.071554197,0.06020441,0.030416921,0.026469074,0.442443111,0.066531235,0.052340341,0.3287981
0.042856949,0.052775918,0.046758408,0.028847194,0.046159936,0.058090253,0.081331126,0.02931355
0.120825858,0.159786688,0.05104948,0.064972986,0.048020731,0.09717984,0.046415281,0.032271791
0.575315323,0.789530765,0.495425676,0.67619033,0.493244745,0.120818224,0.575755672,0.734296963
0.527380643,0.470693185,0.481241527,0.147139856,0.404602361,0.863648424,0.323840268,0.091110105
0.85045477,0.591244346,0.783409143,0.108097447,0.72622145,0.919720922,0.86709739,0.052509149
0.034648623,0.065242858,0.023395193,0.048812986,0.050904634,0.043695595,0.146353714,0.039848609
0.270279986,0.177806793,0.174521355,0.105745946,0.325195046,0.076046352,0.247603811,0.114811274
0.775711723,0.60901246,0.58052763,0.188677525,0.254263889,0.36408817,0.533673573,0.440723949
