MA1,MA2,MA3,MA4,MB1,MB2,MB3,MB4
0.433291997,0.461530488,0.521253959,0.355675087,0.451695969,0.30771692,0.483979142,0.284766198
0.048987097,0.034165595,0.031560298,0.026364692,0.040709232,0.023042534,0.024822493,0.035195538
0.577027145,0.05481171,0.544715709,0.690141178,0.159569281,0.052059559,0.518701344,0.137109253
0.332949876,0.084836242,0.05387908,0.036511361,0.563643303,0.335733522,0.875733616,0.338813572
0.021578295,0.019783237,0.024967251,0.021977359,0.030861686,0.078292271,0.020433634,0.026946293
0.116739052,0.053405571,0.035532693,0.232407056,0.057617292,0.031339019,0.337698317,0.029348042
0.067445252,0.038327859,0.080222219,0.050373006,0.064745939,0.068096745,0.057552375,0.047239382
0.028018804,0.021652246,0.034958073,0.089057778,0.028363905,0.027954733,0.02705937,0.031645983
0.046706365,0.102625199,0.063674563,0.059314293,0.085333365,0.36696857,0.554358853,0.374944315
0.597249822,0.434149258,0.842848697,0.375002234,0.189834165,0.179221528,0.220670317,0.107103013
0.072494938,0.070599117,0.040616089,0.042557443,0.068146882,0.048626606,0.043678618,0.035078025
0.455467735,0.513925873,0.848025803,0.892857353,0.057184953,0.040007591,0.270639936,0.030305679
0.414066691,0.466794986,0.503654927,0.903351164,0.207139815,0.503011823,0.493797336,0.703142505
0.061812728,0.045984955,0.062832172,0.548792582,0.536597262,0.095815841,0.044360111,0.047761922
0.388807925,0.448715604,0.450015124,0.617498644,0.33283655,0.089008705,0.129472829,0.068862453
0.191311583,0.034192781,0.047618593,0.028351476,0.033615284,0.03421682,0.056783191,0.03986906
0.85664345,0.121135855,0.891965799,0.171622351,0.035907335,0.329721205,0.06967143,0.03911358
0.038747065,0.03947657,0.032392729,0.033001785,0.430955242,0.042262984,0.443379063,0.035064559
0.063917463,0.097906998,0.065584434,0.048789543,0.454474401,0.394360111,0.394944316,0.26913248
0.151127823,0.037609433,0.058526109,0.526788701,0.216690085,0.112861508,0.063919899,0.034517356
0.120889077,0.520977431,0.160394761,0.34105328,0.192018708,0.145868494,0.065521425,0.198835811
0.102468127,0.563574079,0.061791534,0.027345498,0.415924414,0.132591088,0.199687314,0.237746437
