PA L 1,PB L 2,PB L 3,PB L 4,PA LL 1,PA LL 2,PB LL 3,PB LL 4
0.032932624,0.028121816,0.027619075,0.032297665,0.154897225,0.089910488,0.062341687,0.092588469
0.040566278,0.062173684,0.044253466,0.03386906,0.086896401,0.078010228,0.045382996,0.044093444
0.927743485,0.928382408,0.923790612,0.943926336,0.83563621,0.902430202,0.931879499,0.88688874
0.025482254,0.03126938,0.026307722,0.030284502,0.073918359,0.023572238,0.023721985,0.026749848
0.880189965,0.719834408,0.561976674,0.872944798,0.692813588,0.420763816,0.901823046,0.941193069
0.055131443,0.033726878,0.035823388,0.031087178,0.14029453,0.027781349,0.018692353,0.238286892
0.050622779,0.035935438,0.034597213,0.035712378,0.126204635,0.340106372,0.022989787,0.019612402
0.051869861,0.544409203,0.472289111,0.437197923,0.063311409,0.467303878,0.396013324,0.42121367
0.036601482,0.031459294,0.04069451,0.041277671,0.045036557,0.491880723,0.051415853,0.284346151
0.249180255,0.173736865,0.240405199,0.471015129,0.325646948,0.52985687,0.090346927,0.046154489
0.034263064,0.02862141,0.021585009,0.029778354,0.219880484,0.047080496,0.031219959,0.035547977
0.831443363,0.861893654,0.846125475,0.835531475,0.812829917,0.773725565,0.848784959,0.764202685
0.041106044,0.028781073,0.038343306,0.040028118,0.078231472,0.070005324,0.031959608,0.174878284
0.739011932,0.561934724,0.578159123,0.540463127,0.341927056,0.843988454,0.593288201,0.836980434
0.032970957,0.050500261,0.04015489,0.040978842,0.093949517,0.049280691,0.039754365,0.045431329
0.285089678,0.529673703,0.519658159,0.484981255,0.039082046,0.046627648,0.447012564,0.315919178
0.031301158,0.035862866,0.043774664,0.040282996,0.037964124,0.039882003,0.037126814,0.028049216
0.070907104,0.077774444,0.068109197,0.06815405,0.32081672,0.065328144,0.048589146,0.073103674
0.37794665,0.513818735,0.539939777,0.510972739,0.640772624,0.523003649,0.819215024,0.436527094
0.027552554,0.026143286,0.08546536,0.024408343,0.141965858,0.036788024,0.112391032,0.051584762
0.482649664,0.866024694,0.885981895,0.893529715,0.344461353,0.521216715,0.929831482,0.936570176
0.370041394,0.119465791,0.154859132,0.145243082,0.69886417,0.524113784,0.470772285,0.360423216
0.493369161,0.044997017,0.047430603,0.051623258,0.110520189,0.049560958,0.039332775,0.037460771
0.034634127,0.029007009,0.035308148,0.027581192,0.066644842,0.036805728,0.035467169,0.035705735
