DA LL 1,DA LL 2,DBL1,DBL2,DB LL 3,DB LL 4,DBL20,DBL21
0.899681014,0.886428162,0.918341427,0.550880983,0.809874744,0.70093443,0.401055036,0.556869821
0.643029349,0.155956525,0.370806969,0.519329044,0.670518654,0.197775887,0.376342094,0.546558768
0.439788164,0.212650145,0.364513484,0.530722691,0.619472008,0.466803718,0.131375527,0.480225638
0.228635092,0.051306115,0.111898026,0.066419003,0.07661039,0.430770597,0.077022046,0.062243933
0.12875882,0.044583219,0.176205617,0.127663028,0.03478895,0.090759632,0.060365918,0.468742022
0.109953024,0.079349973,0.148412115,0.087126426,0.576767182,0.191661268,0.867076264,0.073420126
0.568021416,0.622750641,0.386615798,0.861196163,0.094632826,0.851938681,0.303637688,0.916135881
0.635938576,0.461275874,0.444630696,0.110762032,0.46165925,0.479140172,0.494392135,0.892247575
0.045414618,0.030541095,0.090279613,0.049046067,0.063163875,0.158082403,0.057552468,0.050579602
0.734239454,0.547700501,0.513663849,0.458963025,0.3886499,0.317723938,0.05847443,0.041467692
0.057326144,0.029663511,0.074743542,0.053093682,0.058144011,0.040727318,0.063972231,0.036459374
0.12667938,0.059803634,0.078564027,0.074641646,0.050209219,0.039003506,0.157578043,0.036693639
0.469194236,0.190098484,0.455137656,0.535231468,0.571846525,0.429014247,0.060540301,0.269873552
0.115261725,0.346940144,0.621683832,0.58705058,0.889901866,0.564857075,0.45020108,0.516206339
0.53407121,0.066761189,0.244602279,0.05302732,0.017670337,0.025196049,0.355039794,0.076125311
0.298670164,0.042135926,0.100486286,0.079037107,0.020527574,0.035593023,0.062115496,0.047515137
0.101773352,0.025334008,0.051417904,0.035740261,0.049379851,0.095073477,0.03085026,0.029056931
0.086710391,0.062700432,0.068743802,0.538559945,0.098121112,0.07016449,0.059507033,0.060753544
0.631339794,0.523986626,0.544880569,0.556951706,0.18652049,0.02138255,0.50089931,0.172681607
0.054389295,0.037569789,0.069590164,0.161221131,0.157452983,0.368040538,0.051245546,0.041174991
0.841293965,0.894504448,0.888392315,0.93599014,0.911310684,0.727030454,0.893934548,0.901848106
0.125946326,0.048263547,0.115188052,0.080575019,0.038005908,0.035678477,0.408913045,0.03934776
0.837134424,0.616076758,0.456358003,0.964912306,0.845289224,0.644536276,0.189529684,0.949472968
0.070346876,0.054721611,0.132180376,0.073869041,0.04032433,0.026983165,0.501884357,0.053973337
0.116965199,0.25694331,0.504799716,0.20402808,0.323004098,0.038112197,0.181899788,0.034750189
