NumCells	NumSamples	CellsPerSample	SampleDepth	Generation	Identity	DriverIdentity	Parent	Population	BirthRate	MigrationRate	OriginTime	DriverMutations	MigrationMutations	PassengerMutations
1025	1	-1	-1	50.170452	1	1	0	0	2.695590	0.000000	9.219147	1	0	0
1025	1	-1	-1	50.170452	2	2	1	1025	16.639093	0.000000	13.521534	2	0	0
1025	1	-1	-1	51.170456	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1025	1	-1	-1	51.170456	1	1	0	0	2.695590	0.000000	9.219147	1	0	0
1025	1	-1	-1	51.170456	2	2	1	1025	16.639093	0.000000	13.521534	2	0	0
1025	1	-1	-1	52.170502	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1025	1	-1	-1	52.170502	1	1	0	0	2.695590	0.000000	9.219147	1	0	0
1025	1	-1	-1	52.170502	2	2	1	1025	16.639093	0.000000	13.521534	2	0	0
1025	1	-1	-1	53.170696	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1025	1	-1	-1	53.170696	1	1	0	0	2.695590	0.000000	9.219147	1	0	0
1025	1	-1	-1	53.170696	2	2	1	1025	16.639093	0.000000	13.521534	2	0	0
1025	1	-1	-1	54.170822	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1025	1	-1	-1	54.170822	1	1	0	0	2.695590	0.000000	9.219147	1	0	0
1025	1	-1	-1	54.170822	2	2	1	1025	16.639093	0.000000	13.521534	2	0	0
1025	1	-1	-1	55.170887	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1025	1	-1	-1	55.170887	1	1	0	0	2.695590	0.000000	9.219147	1	0	0
1025	1	-1	-1	55.170887	2	2	1	1025	16.639093	0.000000	13.521534	2	0	0
1025	1	-1	-1	56.170925	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1025	1	-1	-1	56.170925	1	1	0	0	2.695590	0.000000	9.219147	1	0	0
1025	1	-1	-1	56.170925	2	2	1	1025	16.639093	0.000000	13.521534	2	0	0
1025	1	-1	-1	57.170956	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1025	1	-1	-1	57.170956	1	1	0	0	2.695590	0.000000	9.219147	1	0	0
1025	1	-1	-1	57.170956	2	2	1	1025	16.639093	0.000000	13.521534	2	0	0
1025	1	-1	-1	58.170986	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1025	1	-1	-1	58.170986	1	1	0	0	2.695590	0.000000	9.219147	1	0	0
1025	1	-1	-1	58.170986	2	2	1	1025	16.639093	0.000000	13.521534	2	0	0
1025	1	-1	-1	59.171043	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1025	1	-1	-1	59.171043	1	1	0	0	2.695590	0.000000	9.219147	1	0	0
1025	1	-1	-1	59.171043	2	2	1	1025	16.639093	0.000000	13.521534	2	0	0
1025	1	-1	-1	60.171165	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1025	1	-1	-1	60.171165	1	1	0	0	2.695590	0.000000	9.219147	1	0	0
1025	1	-1	-1	60.171165	2	2	1	1024	16.639093	0.000000	13.521534	2	0	0
1025	1	-1	-1	61.171200	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1025	1	-1	-1	61.171200	1	1	0	0	2.695590	0.000000	9.219147	1	0	0
