Generation	Size	Frequency	Count
130.174362	8	0.007805	7
130.174362	9	0.008780	5
130.174362	10	0.009756	3
130.174362	13	0.012683	4
130.174362	14	0.013659	3
130.174362	18	0.017561	1
130.174362	32	0.031220	1
130.174362	23	0.022439	2
130.174362	16	0.015610	4
130.174362	11	0.010732	5
130.174362	20	0.019512	1
130.174362	15	0.014634	1
130.174362	33	0.032195	2
130.174362	12	0.011707	3
140.174942	1	0.000976	91
140.174942	2	0.001951	42
140.174942	3	0.002927	24
140.174942	4	0.003902	17
140.174942	5	0.004878	13
140.174942	6	0.005854	6
140.174942	7	0.006829	4
140.174942	8	0.007805	8
140.174942	9	0.008780	4
140.174942	10	0.009756	3
140.174942	12	0.011707	4
140.174942	22	0.021463	2
140.174942	14	0.013659	1
140.174942	11	0.010732	5
140.174942	28	0.027317	1
140.174942	18	0.017561	2
140.174942	13	0.012683	2
140.174942	24	0.023415	1
140.174942	38	0.037073	1
140.174942	20	0.019512	1
140.174942	16	0.015610	1
140.174942	26	0.025366	1
140.174942	17	0.016585	1
140.174942	15	0.014634	1
140.174942	25	0.024390	1
140.174942	19	0.018537	1
150.175323	1	0.000976	85
150.175323	2	0.001951	39
150.175323	3	0.002927	35
150.175323	4	0.003902	23
150.175323	5	0.004878	5
150.175323	6	0.005854	9
150.175323	7	0.006829	4
150.175323	8	0.007805	6
150.175323	9	0.008780	5
150.175323	10	0.009756	4
150.175323	18	0.017561	3
150.175323	14	0.013659	2
150.175323	16	0.015610	1
150.175323	17	0.016585	1
150.175323	12	0.011707	5
150.175323	29	0.028293	2
150.175323	33	0.032195	1
150.175323	21	0.020488	1
150.175323	25	0.024390	1
150.175323	13	0.012683	1
150.175323	31	0.030244	1
150.175323	11	0.010732	3
150.175323	36	0.035122	1
160.175888	1	0.000976	80
160.175888	2	0.001951	31
160.175888	3	0.002927	22
160.175888	4	0.003902	20
160.175888	5	0.004878	12
160.175888	6	0.005854	12
160.175888	7	0.006829	6
160.175888	8	0.007805	9
160.175888	9	0.008780	2
160.175888	10	0.009756	3
160.175888	17	0.016585	1
160.175888	27	0.026341	1
160.175888	13	0.012683	3
160.175888	29	0.028293	1
160.175888	20	0.019512	1
160.175888	33	0.032195	1
160.175888	16	0.015610	1
160.175888	11	0.010732	4
160.175888	71	0.069268	1
160.175888	15	0.014634	3
160.175888	39	0.038049	1
160.175888	12	0.011707	1
160.175888	30	0.029268	1
160.175888	21	0.020488	1
170.176193	1	0.000976	92
170.176193	2	0.001951	40
170.176193	3	0.002927	21
170.176193	4	0.003902	23
170.176193	5	0.004878	17
170.176193	6	0.005854	6
170.176193	7	0.006829	13
170.176193	8	0.007805	6
170.176193	9	0.008780	5
170.176193	10	0.009756	3
170.176193	26	0.025366	1
170.176193	24	0.023415	2
170.176193	12	0.011707	3
170.176193	11	0.010732	5
170.176193	14	0.013659	1
170.176193	28	0.027317	1
170.176193	13	0.012683	2
170.176193	20	0.019512	1
170.176193	22	0.021463	1
170.176193	17	0.016585	2
170.176193	15	0.014634	1
170.176193	23	0.022439	1
170.176193	16	0.015610	1
180.176620	1	0.000977	74
180.176620	2	0.001953	41
180.176620	3	0.002930	37
180.176620	4	0.003906	22
180.176620	5	0.004883	13
180.176620	6	0.005859	15
180.176620	7	0.006836	3
180.176620	8	0.007812	6
180.176620	9	0.008789	2
180.176620	10	0.009766	3
180.176620	13	0.012695	6
180.176620	18	0.017578	1
180.176620	14	0.013672	1
180.176620	20	0.019531	3
180.176620	19	0.018555	1
180.176620	22	0.021484	1
180.176620	16	0.015625	1
180.176620	12	0.011719	3
180.176620	17	0.016602	2
180.176620	25	0.024414	1
180.176620	21	0.020508	2
180.176620	11	0.010742	3
190.177475	1	0.000976	87
190.177475	2	0.001951	37
190.177475	3	0.002927	17
190.177475	4	0.003902	19
190.177475	5	0.004878	11
190.177475	6	0.005854	14
190.177475	7	0.006829	5
190.177475	8	0.007805	4
190.177475	9	0.008780	7
190.177475	10	0.009756	3
190.177475	15	0.014634	3
190.177475	31	0.030244	1
190.177475	11	0.010732	5
190.177475	23	0.022439	1
190.177475	12	0.011707	5
190.177475	37	0.036098	1
190.177475	17	0.016585	2
190.177475	14	0.013659	1
190.177475	13	0.012683	2
190.177475	19	0.018537	3
190.177475	24	0.023415	1
190.177475	16	0.015610	2
200.178177	1	0.000976	93
200.178177	2	0.001951	41
200.178177	3	0.002927	21
200.178177	4	0.003902	15
200.178177	5	0.004878	13
200.178177	6	0.005854	13
200.178177	7	0.006829	6
200.178177	8	0.007805	5
200.178177	9	0.008780	6
200.178177	10	0.009756	6
200.178177	62	0.060488	1
200.178177	12	0.011707	8
200.178177	11	0.010732	3
200.178177	13	0.012683	4
200.178177	14	0.013659	2
200.178177	21	0.020488	2
200.178177	20	0.019512	2
200.178177	18	0.017561	1
200.178177	17	0.016585	1
210.178635	1	0.000976	69
210.178635	2	0.001951	38
210.178635	3	0.002927	30
210.178635	4	0.003902	11
