Generation	X	Y	Population	NormalCells	DeathRate	Diversity	DriverDiversity
360.187073	0	0	1025	0	100.000000	0.000000	0.000000
370.187958	0	0	1025	0	100.000000	0.000000	0.000000
380.188324	0	0	1024	0	0.000000	0.000000	0.000000
390.188812	0	0	1025	0	100.000000	0.000000	0.000000
400.189819	0	0	1025	0	100.000000	0.000000	0.000000
410.190308	0	0	1025	0	100.000000	0.000000	0.000000
420.190582	0	0	1025	0	100.000000	0.000000	0.000000
430.191132	0	0	1025	0	100.000000	0.000000	0.000000
440.191681	0	0	1025	0	100.000000	0.000000	0.000000
450.192352	0	0	1025	0	100.000000	0.000000	0.000000
460.192566	0	0	1025	0	100.000000	0.000000	0.000000
470.192963	0	0	1025	0	100.000000	0.000000	0.000000
480.193604	0	0	1025	0	100.000000	0.000000	0.000000
490.194061	0	0	1025	0	100.000000	0.000000	0.000000
500.194580	0	0	1025	0	100.000000	0.000000	0.000000
510.195099	0	0	1026	0	100.000000	0.000000	0.000000
520.195435	0	0	1025	0	100.000000	0.000000	0.000000
530.195801	0	0	1025	0	100.000000	0.000000	0.000000
540.196045	0	0	1025	0	100.000000	0.000000	0.000000
550.196289	0	0	1025	0	100.000000	0.000000	0.000000
560.197083	0	0	1025	0	100.000000	0.000000	0.000000
570.197571	0	0	1025	0	100.000000	0.000000	0.000000
580.197815	0	0	1025	0	100.000000	0.000000	0.000000
590.198242	0	0	1025	0	100.000000	0.000000	0.000000
600.198730	0	0	1025	0	100.000000	0.000000	0.000000
610.198975	0	0	1025	0	100.000000	0.000000	0.000000
620.199341	0	0	1026	0	100.000000	0.000000	0.000000
630.199585	0	0	1025	0	100.000000	0.000000	0.000000
640.200256	0	0	1025	0	100.000000	0.000000	0.000000
650.200806	0	0	1025	0	100.000000	0.000000	0.000000
660.201294	0	0	1025	0	100.000000	0.000000	0.000000
670.201782	0	0	1025	0	100.000000	0.000000	0.000000
680.202026	0	0	1025	0	100.000000	0.000000	0.000000
690.202637	0	0	1025	0	100.000000	0.000000	0.000000
700.203308	0	0	1025	0	100.000000	0.000000	0.000000
710.203796	0	0	1025	0	100.000000	0.000000	0.000000
720.204102	0	0	1025	0	100.000000	0.000000	0.000000
730.204468	0	0	1025	0	100.000000	0.000000	0.000000
740.204834	0	0	1025	0	100.000000	0.000000	0.000000
750.205139	0	0	1024	0	0.000000	0.000000	0.000000
760.206055	0	0	1025	0	100.000000	0.000000	0.000000
770.206360	0	0	1025	0	100.000000	0.000000	0.000000
780.207031	0	0	1025	0	100.000000	0.000000	0.000000
790.207825	0	0	1025	0	100.000000	0.000000	0.000000
800.208313	0	0	1025	0	100.000000	0.000000	0.000000
810.209229	0	0	1026	0	100.000000	0.000000	0.000000
820.209534	0	0	1025	0	100.000000	0.000000	0.000000
830.209778	0	0	1025	0	100.000000	0.000000	0.000000
840.210205	0	0	1025	0	100.000000	0.000000	0.000000
850.210510	0	0	1025	0	100.000000	0.000000	0.000000
860.211060	0	0	1024	0	0.000000	0.000000	0.000000
870.211487	0	0	1025	0	100.000000	0.000000	0.000000
880.211975	0	0	1024	0	0.000000	0.000000	0.000000
890.212585	0	0	1025	0	100.000000	0.000000	0.000000
900.213135	0	0	1025	0	100.000000	0.000000	0.000000
910.213745	0	0	1025	0	100.000000	0.000000	0.000000
920.214233	0	0	1025	0	100.000000	0.000000	0.000000
930.214600	0	0	1025	0	100.000000	0.000000	0.000000
940.215027	0	0	1025	0	100.000000	0.000000	0.000000
950.215454	0	0	1025	0	100.000000	0.000000	0.000000
960.215881	0	0	1025	0	100.000000	0.000000	0.000000
970.216064	0	0	1025	0	100.000000	0.000000	0.000000
980.216614	0	0	1025	0	100.000000	0.000000	0.000000
990.216980	0	0	1025	0	100.000000	0.000000	0.000000
1000.000000	0	0	1025	0	100.000000	0.000000	0.000000
