Generation	Clone	Deme	Genotype	DriverGenotype	Parent	DriverParent	X	Y	NormalCells	Population	BirthRate	MigrationRate	DeathRate	MigrationModifier	DriverMutations	MigrationMutations	PassengerMutations
10.127996	43	0	46	0	0	0	0	0	503	1	1.000000	0.000000	100.000000	0.000000	0	0	1
10.127996	44	0	47	0	0	0	0	0	503	1	1.000000	0.000000	100.000000	0.000000	0	0	1
10.127996	45	0	48	0	2	0	0	0	503	3	1.000000	0.000000	100.000000	0.000000	0	0	2
10.127996	46	0	70	0	0	0	0	0	503	1	1.000000	0.000000	100.000000	0.000000	0	0	1
10.127996	47	0	50	0	0	0	0	0	503	1	1.000000	0.000000	100.000000	0.000000	0	0	1
10.127996	48	0	51	0	0	0	0	0	503	1	1.000000	0.000000	100.000000	0.000000	0	0	1
10.127996	49	0	52	0	1	0	0	0	503	1	1.000000	0.000000	100.000000	0.000000	0	0	2
10.127996	50	0	53	0	0	0	0	0	503	1	1.000000	0.000000	100.000000	0.000000	0	0	1
10.127996	51	0	54	0	4	0	0	0	503	2	1.000000	0.000000	100.000000	0.000000	0	0	2
10.127996	52	0	55	0	19	0	0	0	503	1	1.000000	0.000000	100.000000	0.000000	0	0	2
10.127996	53	0	56	0	14	0	0	0	503	1	1.000000	0.000000	100.000000	0.000000	0	0	2
10.127996	54	0	58	0	2	0	0	0	503	1	1.000000	0.000000	100.000000	0.000000	0	0	2
10.127996	55	0	59	0	0	0	0	0	503	1	1.000000	0.000000	100.000000	0.000000	0	0	1
10.127996	56	0	61	0	1	0	0	0	503	1	1.000000	0.000000	100.000000	0.000000	0	0	2
10.127996	57	0	62	0	9	0	0	0	503	2	1.000000	0.000000	100.000000	0.000000	0	0	3
10.127996	58	0	63	0	0	0	0	0	503	1	1.000000	0.000000	100.000000	0.000000	0	0	1
10.127996	59	0	64	0	2	0	0	0	503	1	1.000000	0.000000	100.000000	0.000000	0	0	2
10.127996	60	0	65	0	9	0	0	0	503	1	1.000000	0.000000	100.000000	0.000000	0	0	3
10.127996	61	0	67	0	0	0	0	0	503	2	1.000000	0.000000	100.000000	0.000000	0	0	1
10.127996	62	0	69	0	0	0	0	0	503	1	1.000000	0.000000	100.000000	0.000000	0	0	1
